date,monthid,yearid,weekid,h1_pos,sh3_pos,b_pos,pos_index,RSV_org,Adenovirus,paraflu12,paraflu34,RSV,temp.max,temp.mean,temp.min,relative.humidity,total.rainfall,solar.radiation,wind.speed,absolute.humidity,pressure,temp.range
2014-03-23,3,2014,12,0.0430865648256953,0.0235017626321974,0.11711711711711699,9.447296482331703,0.0379945162553858,0.7050221255471428,0.9064570185606085,1.3294702938888943,1.953918462230651,26.8,19.8142857142857,20.4,78.5714285714286,0.0142857142857143,15.4714285714286,20.6857142857143,13.704998225090101,1018.01428571429,5.34285714285714
2014-03-30,3,2014,13,0.0240821160679037,0.0209238057639163,0.117252270035531,7.754626229595124,0.06000789577576,0.8679143711955631,1.1131945195769188,0.9811205935254178,2.867890965689682,27.6,22.0142857142857,21.2,83.71428571428571,17.4571428571429,13.7742857142857,15.285714285714299,16.3352736532212,1013.6285714285699,5.5
2014-04-06,4,2014,14,0.0210430009149131,0.0182982616651418,0.0864592863677951,5.684694762757558,0.0585544373284538,0.8268646927647351,0.8061930754456142,1.0955957179132747,2.645967016847154,24.7,19.971428571428604,19.5,90.57142857142858,23.8,8.365714285714281,24.414285714285697,15.595218538871698,1013.71428571429,3.0428571428571405
2014-04-13,4,2014,15,0.0148902821316614,0.0207680250783699,0.0768025078369906,4.916643481118151,0.072884012539185,0.8394269358006582,0.8394269358006625,1.4904110900950505,3.186396123651488,28.7,22.142857142857103,22.1,86.57142857142858,3.9571428571428595,16.9085714285714,19.6,16.9691834877245,1014.0571428571401,4.614285714285709
2014-04-20,4,2014,16,0.0112602858380251,0.00909484625378952,0.0697271546123863,3.944226564365912,0.0632308358596795,0.8912435025249884,0.5499162036856331,1.517010217063813,2.7685436461414574,28.6,23.742857142857105,23.5,83.28571428571429,0.0571428571428571,15.44,15.842857142857099,17.9198553647153,1012.98571428571,4.31428571428571
2014-04-27,4,2014,17,0.00304745319982586,0.00827165868524162,0.064867218110579,3.8736441646097814,0.064431867653461,0.5091075187772837,1.0182150375545724,1.9921598560850309,3.2759962077842713,29.0,23.414285714285697,22.9,89.42857142857142,2.8357142857142903,8.63,21.8142857142857,18.7582305125284,1012.51428571429,3.28571428571429
2014-05-04,5,2014,18,0.0027359781121751,0.0113999088007296,0.0533515731874145,2.6191594207443405,0.0533515731874145,1.221094594806484,0.40703153160216005,1.2564886410327603,2.0705517042370802,28.6,23.7714285714286,23.6,81.8571428571429,1.5785714285714298,13.8757142857143,28.0142857142857,17.5114524374613,1013.2,3.64285714285714
2014-05-11,5,2014,19,0.00103466114847387,0.0150025866528712,0.0325918261769271,2.0337952827365258,0.0393171236420072,0.8654448011644781,0.43272240058223693,1.2116227216302693,1.6443451222125063,26.6,21.942857142857104,22.3,94.2857142857143,57.6,4.47,25.785714285714302,18.3109390189576,1011.42857142857,2.61428571428571
2014-05-18,5,2014,20,0.007295466388744141,0.00573215216258468,0.0302240750390829,1.442127076844773,0.0333507034914018,0.6081258757779142,0.24325035031116637,1.372626976755868,1.1120016014224752,30.9,27.9857142857143,27.5,86.57142857142858,19.128571428571398,12.08,22.285714285714302,23.5220233881426,1007.3,3.9
2014-05-25,5,2014,21,0.00304259634888438,0.0192697768762677,0.0309330628803245,2.2520274681577592,0.0360040567951318,1.2010813163508074,0.49330125492979593,1.501351645438508,1.5227995260876284,32.6,28.1142857142857,28.2,84.5714285714286,19.6785714285714,13.137142857142901,21.342857142857103,23.123327372093,1008.68571428571,5.18571428571429
