date,monthid,yearid,weekid,RSV_org,Adenovirus,RSV
2006-11-05,11,2006,44,0.00648298217179903,1.1503340317033657,0.270666830989027
2006-11-12,11,2006,45,0.00667779632721202,1.6379892875500572,0.26207828600800936
2006-11-19,11,2006,46,0.00807754442649435,0.9262366253506892,0.257287951486303
2006-11-26,11,2006,47,0.00688468158347676,1.0487993156252573,0.26219982890631377
2006-12-03,12,2006,48,0.00328947368421053,1.2225192770993367,0.12225192770993368
2006-12-10,12,2006,49,0.013355592654424,0.9739819394046456,0.5565611082312237
2006-12-17,12,2006,50,0.0194489465153971,1.0002105222514686,0.7060309568833893
2006-12-24,12,2006,51,0.0226904376012966,1.5167870127859853,0.8847924241251574
2006-12-31,12,2006,52,0.0113452188006483,1.1030457315305418,0.4541953012184579
2007-01-07,1,2007,1,0.0202808112324493,1.2812437091959783,0.8328084109773859
2007-01-14,1,2007,2,0.0111111111111111,1.8288051416885802,0.47413466636370505
2007-01-21,1,2007,3,0.0223214285714286,1.2915454962164743,0.8805992019657801
2007-01-28,1,2007,4,0.0364741641337386,1.3468847858340556,1.5392968980960622
2007-02-04,2,2007,5,0.0172185430463576,1.0733597956836982,0.8721048339930021
2007-02-11,2,2007,6,0.0226190476190476,1.2549297392502965,1.2549297392502965
2007-02-18,2,2007,7,0.0456375838926174,2.1021282932173273,2.647124517384783
2007-02-25,2,2007,8,0.0280898876404494,1.6956799503351276,1.461793060633731
2007-03-04,3,2007,9,0.06196581196581201,0.7917514184102228,3.2801130191280587
2007-03-11,3,2007,10,0.0325379609544469,1.2746555481190065,1.9119833221785154
2007-03-18,3,2007,11,0.0452039691289967,1.3007903383841302,2.5396382797023525
2007-03-25,3,2007,12,0.0534521158129176,0.924194885633929,2.9574236340285815
2007-04-01,4,2007,13,0.0665914221218962,2.4583557382197028,3.7190509885887852
2007-04-08,4,2007,14,0.10724637681159402,2.7610234647701026,6.590830206225389
2007-04-15,4,2007,15,0.0697424892703863,1.3897834089356993,3.0111973860273533
2007-04-22,4,2007,16,0.14041514041514003,1.4977222465521982,5.556066398500082
2007-04-29,4,2007,17,0.111656441717791,1.6475804284388442,4.836445773804334
2007-05-06,5,2007,18,0.0824468085106383,1.23450652879963,3.4790638538898633
2007-05-13,5,2007,19,0.068922305764411,1.5594370778690472,3.430761571311903
2007-05-20,5,2007,20,0.065843621399177,1.9597020542590322,3.243644779463232
2007-05-27,5,2007,21,0.0590015128593041,1.3187326761608558,3.2144108981420896
2007-06-03,6,2007,22,0.0503048780487805,1.6896980000082509,2.1446166923181655
2007-06-10,6,2007,23,0.0333333333333333,2.088153376854949,1.766899011184955
2007-06-17,6,2007,24,0.0440165061898212,2.180190161566458,2.491645898933098
2007-06-24,6,2007,25,0.0291828793774319,1.8580307233736306,2.064478581526257
2007-07-01,7,2007,26,0.0473372781065089,1.4233156464590515,2.952062081544702
2007-07-08,7,2007,27,0.0460218408736349,1.4330920239964164,3.252016515991865
2007-07-15,7,2007,28,0.0603975535168196,1.862105864790891,4.326657744661195
2007-07-22,7,2007,29,0.0883424408014572,2.0695195867062606,4.562349997966074
2007-07-29,7,2007,30,0.0993449781659389,1.4159691778540966,3.9046422783249395
2007-08-05,8,2007,31,0.104031209362809,1.6148617858009442,4.454791133243991
2007-08-12,8,2007,32,0.11378002528445,1.4211604690701427,4.12594974891332
2007-08-19,8,2007,33,0.11041990668740302,1.4382983140201007,3.9276607805933637
2007-08-26,8,2007,34,0.12356321839080499,1.8939393939393971,5.616509926854778
2007-09-02,9,2007,35,0.09986684420772302,1.2675355418364755,5.003429770407133
2007-09-09,9,2007,36,0.0940665701881331,1.4109084795023121,4.168593234893197
2007-09-16,9,2007,37,0.0842696629213483,1.6490631291810078,3.9577515100344174
2007-09-23,9,2007,38,0.0693069306930693,0.9751613116274225,2.986431516858985
